薛蟠	 男
香菱 女
趙姨娘 女
賈政 男
甄士隱 男
封氏 女
周姨娘 女
嫣紅 女
賈赦 男
邢岫煙 女
薛蝌 男
佩鳳 女
賈珍 男
偕鸞 女
秋桐 女
賈璉 女
文花 女
孫紹祖 男
賈迎春 女
夏金桂 女
賈寶玉 男
薛寶釵 男
李守中 男
李紈 女
秦可卿 女
秦業 男
林之孝 男
小紅 女
銀姐 女
卜世仁 男
金彩 女
鴛鴦 女
邢忠 男
賈珠 男
賈環 男
賈琮 男
賈蓉 男
賈蘭 男
秦鐘 男
馮紫英 男
馮唐 男
賴大 男
賴尚榮 男
襲人 女
媚人 女
晴雯 女
綺霰 女
麝月 女
檀雲 女
秋紋 女
茜雪 女
春燕 女
墜兒 女
四兒 女
佳蕙 女
抱琴 女
賈元春 女
入畫 女
賈惜春 女
彩屏 女
翠墨 女
賈探春 女
蟬姐 女
蓮花兒 女
繡橘 女
紫鵑 女
林黛玉 女
雪雁 女
春纖 女
縷兒 女
史湘雲 女
賈母 女
琥珀 女
伴鶴 男
掃花 男
引泉 男
雙瑞 男
雙壽 男
來旺 男
王熙鳳 女
興兒 男
王榮 男
錢啟 男
張若錦 男
趙亦華 男
錢槐 男
隆兒 男
昭兒 男
喜兒 男
壽兒 男
杏奴 男
柳湘蓮 女
慶兒 男
王信 男
小童 男
霍啟 男
賈演 男
賈源 男
賈敷 男
賈敬 男
賈敏 女
史鼐 男
王子騰 男
王子勝 男
邢夫人 女
李紋 女
李綺 女
小鳩兒 女
尤二姐 女
尤氏 女
尤三姐 女
四姐 女
賈瓊 男
小霞 女
彩霞 女
邢德全 男
賈巧姐 女
薛姨媽 女
尤老娘 女
夏奶奶 女
李貴 男
李嬤嬤 女
胡氏 女
金榮 男
趙嬤嬤 女
趙天棟 男
王嫂子 女
賈芸 男
周氏 女
賈芹 男
史鼎 男
李嬸娘 女
夏婆子 女
瀟湘館 無
蘅蕪苑 無
秋爽齋 無
稻香村 無
張友士 男
淨虛 女
智善 女
傅試 男
賈代善 男
賈代儒 男
賈瑞 男
裘良 男
景田侯 男
賈代化 男
賈琛 男
賈璘 男
賈萍 女
賈菖 女
賈菱 女
賈蓁 女
賈藻 女
賈蘅 女
賈芬 女
賈芳 女
賈芝 女
林如海 男
賈璜 男
金氏 女
史太君 女
珍珠 女
玻璃 女
翡翠 女
鸚鵡 女
靛兒 女
鶯兒 女
文杏 女
平兒 女
豐兒 女
金釧 女
王夫人 女
玉釧 女
繡鸞 女
繡鳳 女
彩雲 女
素雲 女
同喜 女
同貴 女
翠縷 女
寶珠 女
瑞珠 女
小螺 女
薛寶琴 女
善姐 女
臻兒 女
篆兒 女
傻大姐 女
小吉祥兒 女
小鵲 女
炒豆兒 女
寶蟾 女
茗煙 女
焦大 男
寶玉 男
鋤藥 男
墨雨 男
王仁 男
花自芳 男
傅秋芳 女
金文翔 男
何婆子 女
賈菌 男
婁氏 女
五嫂子 女
妙玉 女
櫳翠庵 無
綴錦樓 無
蓼風軒 無
賈雨村 男
智能 女
牛繼宗 男
牛清 男
柳芳 男
柳彪 男
陳瑞文 男
陳翼 男
馬尚 男
馬魁 男
侯孝康 男
侯曉明 男
石光珠 男
繕國公 男
蔣子寧 男
平原侯 男
謝鯨 男
定城侯 男
戚建輝 男
襄陽侯 男
賈代修 男
賈敕 男
賈效 男
賈敦 男
賈珩 男
賈珖 男
賈荇 女
賈芷 女
